                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0129,                 1.3895,                 1.7015,                0.66792,                0.59195,                0.63182,                0.23949,                  2.255,                 1.4976,                 2.0063,              0.0011389,              0.0011389,              0.0011389
                     35,                 2.0154,                 1.3463,                 1.7061,                0.69432,                0.65111,                0.69053,                0.23132,                 2.2046,                 1.5353,                 2.0098,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.9968,                  1.341,                 1.6859,                0.63181,                0.58621,                0.64095,                0.24231,                 2.2849,                 1.4876,                  1.991,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.9878,                 1.3353,                 1.6795,                0.68459,                0.58033,                 0.6471,                0.23147,                 2.2536,                 1.5426,                 2.0197,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.9932,                 1.3193,                 1.6864,                0.61613,                0.64844,                0.64386,                0.22954,                 2.3478,                 1.5115,                 2.1616,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.9817,                 1.3155,                 1.6645,                0.68475,                0.63218,                0.67186,                0.24092,                 2.2516,                 1.4649,                  2.021,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.9757,                 1.2932,                 1.6666,                0.67917,                 0.6954,                0.71108,                0.27064,                 2.2074,                 1.3747,                 2.0111,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.9422,                 1.2819,                 1.6393,                0.77534,                0.62463,                0.70081,                0.27417,                  2.232,                 1.4031,                 2.0291,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.9041,                 1.2477,                 1.6152,                 0.7474,                0.64943,                  0.695,                0.27221,                 2.2189,                 1.4189,                 2.1033,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.9333,                 1.2588,                 1.6182,                0.63337,                0.64432,                0.66535,                0.24935,                 2.2295,                 1.4108,                 1.9846,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.9414,                 1.2209,                 1.6241,                 0.6235,                0.72945,                0.68806,                0.26173,                 2.2603,                 1.3138,                  2.059,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.8874,                 1.2156,                 1.5982,                0.71254,                0.71242,                0.73178,                0.27925,                 2.1964,                 1.2965,                 2.0258,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.8642,                 1.1982,                 1.5998,                0.71657,                0.69925,                0.70077,                0.24108,                 2.3402,                 1.4202,                 2.1419,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.8757,                 1.2318,                 1.6175,                0.66781,                0.65517,                 0.6739,                0.23651,                 2.2684,                 1.3791,                 2.0495,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.8484,                 1.1902,                 1.6032,                0.74123,                0.66667,                0.69662,                0.25574,                 2.2925,                 1.2971,                 2.0958,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.8723,                 1.1839,                 1.5932,                0.63197,                0.73563,                0.68194,                0.23384,                  2.388,                 1.4002,                 2.1985,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.8483,                 1.1646,                 1.5976,                0.74871,                0.61494,                0.70903,                 0.2566,                 2.2607,                  1.394,                 2.0377,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.8286,                 1.1536,                 1.5704,                0.72618,                0.66667,                0.68471,                0.24365,                 2.2948,                 1.2922,                 2.1346,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.8748,                 1.1492,                 1.5718,                0.69962,                 0.7069,                0.72793,                0.25177,                 2.2905,                 1.3293,                 2.1251,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.7855,                 1.1259,                 1.5648,                0.69988,                0.68966,                0.70233,                0.26374,                 2.3027,                 1.2977,                 2.0704,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.7889,                 1.1201,                  1.546,                0.75765,                0.67835,                0.74844,                0.26366,                 2.2608,                 1.3178,                 2.0002,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.7676,                 1.1059,                 1.5265,                0.66742,                0.70115,                0.72551,                0.26117,                 2.2767,                 1.3748,                 2.0219,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.7533,                 1.0807,                 1.5206,                0.69868,                0.62676,                0.67646,                 0.2557,                 2.3144,                 1.3743,                 2.1715,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.7395,                 1.0627,                 1.5011,                0.73719,                0.65517,                0.71728,                0.25351,                 2.3389,                  1.357,                 2.1563,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.7342,                 1.0603,                 1.4996,                0.72559,                0.70115,                0.73277,                0.25263,                 2.2989,                 1.3829,                 2.0949,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.7353,                 1.0469,                 1.5242,                0.67598,                0.70767,                0.72451,                0.24731,                 2.3262,                 1.3349,                 2.1054,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.7035,                 1.0414,                  1.478,                0.74748,                0.71264,                0.74049,                0.25697,                  2.346,                 1.2696,                 2.2009,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.6968,                  1.023,                 1.4747,                0.75728,                0.71839,                0.75563,                 0.2792,                 2.2734,                 1.1943,                  2.069,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.6732,                 1.0112,                 1.4596,                0.73598,                 0.7069,                0.76615,                0.27077,                 2.3292,                 1.2951,                 2.0974,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.6848,                0.99876,                 1.4904,                0.73415,                0.68998,                0.72178,                 0.2608,                 2.2764,                 1.2888,                 2.1001,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.6592,                0.99871,                 1.4578,                0.77482,                0.72233,                0.75176,                0.25649,                 2.3503,                 1.2261,                 2.1738,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.6909,                 1.0033,                 1.4751,                0.73718,                0.73114,                0.73433,                0.26138,                 2.2836,                 1.2145,                 2.1615,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.6219,                0.97906,                 1.4492,                0.77773,                0.65606,                0.73923,                0.25723,                 2.3341,                 1.2648,                 2.1842,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.6313,                 0.9577,                 1.4526,                0.73728,                0.72246,                0.75558,                0.27142,                 2.3309,                 1.2075,                 2.1392,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.6325,                0.94466,                 1.4235,                0.76498,                0.70175,                0.75211,                0.26315,                 2.3796,                 1.2186,                  2.267,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.6054,                0.96589,                 1.4284,                 0.7341,                0.65023,                0.69847,                0.24261,                 2.4245,                 1.3181,                 2.2646,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5958,                0.92927,                 1.4231,                0.75833,                0.70689,                0.74484,                0.26217,                 2.3069,                 1.2267,                 2.1836,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5772,                0.92549,                 1.3924,                0.71359,                0.67893,                0.72653,                 0.2591,                 2.3101,                  1.218,                 2.1421,             0.00052827,             0.00052827,             0.00052827
                     72,                  1.574,                0.92683,                 1.3973,                0.72746,                0.71264,                0.74274,                0.26623,                 2.3082,                 1.2592,                 2.1718,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.5773,                0.94307,                 1.4151,                0.74027,                 0.6985,                0.73094,                0.25837,                 2.3852,                 1.2219,                 2.2798,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.5173,                0.89393,                 1.3659,                 0.7391,                0.67241,                0.72434,                0.27668,                 2.2794,                 1.2106,                 2.1507,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.5232,                0.88139,                 1.3633,                0.72469,                0.67554,                0.72129,                0.26644,                 2.3071,                 1.2151,                  2.197,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.5414,                0.90493,                 1.3884,                0.73989,                0.68391,                0.74109,                0.26652,                 2.3568,                 1.1622,                 2.2676,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.5276,                 0.9135,                 1.3747,                0.79557,                0.71264,                0.77577,                0.27774,                 2.2732,                 1.1432,                 2.1799,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.5013,                0.87464,                 1.3479,                0.76883,                0.72524,                0.74829,                0.25976,                 2.3583,                 1.1666,                 2.3686,             0.00041275,             0.00041275,             0.00041275
                     79,                   1.51,                0.87874,                 1.3782,                0.76623,                0.71839,                0.78091,                0.26683,                 2.3419,                 1.1634,                  2.254,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.5049,                0.86427,                 1.3636,                0.72052,                0.74126,                0.74858,                0.26228,                 2.3887,                 1.1863,                 2.3313,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.4769,                0.86653,                 1.3581,                0.71539,                0.68966,                0.69957,                0.25718,                 2.3731,                 1.1916,                 2.3534,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.4473,                0.83531,                 1.3348,                0.71207,                0.77109,                0.75814,                0.26905,                 2.3868,                 1.1596,                 2.3659,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.4648,                0.85897,                 1.3559,                0.71719,                0.65991,                0.69677,                0.24882,                 2.3809,                 1.2248,                 2.3217,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.4728,                0.86181,                 1.3547,                0.75944,                0.67816,                0.70966,                0.25794,                  2.367,                 1.1968,                 2.3304,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.4311,                0.83389,                 1.3287,                0.71411,                 0.7198,                0.75093,                0.27903,                 2.3207,                  1.129,                 2.2827,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.4512,                0.85019,                 1.3468,                0.78366,                0.71622,                0.76661,                0.27893,                 2.3165,                 1.1493,                 2.3041,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.4022,                0.83254,                  1.318,                0.72008,                0.74967,                0.75533,                0.27293,                 2.3469,                 1.1423,                 2.3564,             0.00026422,             0.00026422,             0.00026422
                     88,                  1.413,                0.80588,                 1.3118,                0.71789,                0.71839,                0.74096,                0.26709,                 2.3894,                 1.1674,                 2.3947,             0.00024772,             0.00024772,             0.00024772
                     89,                  1.412,                0.79894,                 1.3149,                0.72323,                0.75862,                0.75027,                0.26476,                 2.4507,                 1.1632,                 2.4706,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.4174,                0.82331,                 1.3294,                0.75035,                 0.7254,                0.76968,                0.27847,                 2.3684,                 1.1298,                  2.357,             0.00021471,             0.00021471,             0.00021471
                     91,                  1.313,                 0.7371,                 1.2996,                0.80658,                0.68753,                0.75922,                0.26852,                 2.3977,                 1.1156,                 2.3528,             0.00019821,             0.00019821,             0.00019821
                     92,                  1.273,                0.70594,                 1.2589,                0.75601,                0.77011,                0.78416,                0.26538,                 2.4017,                 1.1372,                 2.4606,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.2703,                0.71287,                 1.2623,                0.78299,                0.71013,                0.74612,                0.26976,                 2.3546,                 1.1398,                 2.4213,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.2463,                0.69582,                 1.2404,                0.76449,                0.68343,                0.75092,                0.27495,                 2.3603,                 1.1187,                 2.4223,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.2389,                 0.6808,                 1.2373,                0.72947,                0.76896,                0.76477,                0.27603,                  2.383,                 1.1088,                  2.455,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.2257,                0.68295,                 1.2434,                0.72435,                0.74403,                0.75482,                0.27054,                 2.3889,                 1.1261,                 2.4512,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.1991,                0.66433,                 1.2311,                0.73563,                0.75287,                0.76421,                0.27828,                 2.3569,                 1.1191,                  2.437,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.1904,                0.66597,                 1.2153,                0.75456,                0.69526,                0.74931,                0.27678,                 2.3655,                 1.1343,                 2.4508,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.1906,                0.66164,                 1.2242,                0.73654,                0.77347,                0.77164,                0.28726,                 2.3444,                 1.1114,                 2.4206,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.1636,                0.65054,                  1.202,                 0.7448,                0.77136,                0.76828,                0.27738,                 2.3769,                 1.1267,                 2.4687,             4.9677e-05,             4.9677e-05,             4.9677e-05
